system:index,LST_C,NDBI,NDVI,NDWI,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,latitude,longitude,.geo
0,33.32843546000004,-0.30771349432777795,0.7850621759085202,-0.7057352213493122,0.01931250000000001,0.05426500000000001,0.03787499999999999,0.31455249999999996,0.16652,0.07739249999999998,9.294464002906835,-75.70601464257895,"{""type"":""Point"",""coordinates"":[-75.70597344444283,9.29441370701533]}"
1,19.331643560000032,-0.4045481555237926,0.831780790356954,-0.7297580609273095,0.025499999999999995,0.06831749999999998,0.040157499999999985,0.437285,0.18538500000000002,0.08300249999999998,8.646060030829366,-75.7658424405013,"{""type"":""Point"",""coordinates"":[-75.7658649108251,8.646135617813226]}"
2,37.43689549999999,-0.09433895673042979,0.556761913129703,-0.6195979341729835,0.043980000000000005,0.07282750000000002,0.08828249999999999,0.31006999999999996,0.25661,0.15293500000000002,9.30012338919679,-75.8566621157258,"{""type"":""Point"",""coordinates"":[-75.85677991750643,9.300120714020224]}"
3,35.86118828000002,-0.4189854584742912,0.876184844528492,-0.7838204924101154,0.022942500000000005,0.048545000000000005,0.026434999999999986,0.40057250000000005,0.16401749999999998,0.0658975,8.79347356895338,-75.56533846908583,"{""type"":""Point"",""coordinates"":[-75.56532295577364,8.793561672443177]}"
4,41.53168346000001,0.04529271217973538,0.44620006437538007,-0.4854712032268256,0.04145,0.08754,0.09678,0.2527325,0.27671250000000003,0.17831750000000002,8.998558948317866,-76.00865706179881,"{""type"":""Point"",""coordinates"":[-76.00869593361769,8.998685884840633]}"
5,30.88455116,-0.2656274995610528,0.8003274594144582,-0.7174913297858259,0.029679999999999984,0.066695,0.04497000000000001,0.40546750000000004,0.23526999999999998,0.10786249999999997,9.11929252250353,-75.54970778314215,"{""type"":""Point"",""coordinates"":[-75.54971399815011,9.119391201815137]}"
6,37.55823521000002,-0.034802006862009065,0.6026496591043443,-0.6127288169761624,0.04308624999999999,0.07324,0.07561874999999998,0.30499624999999997,0.28448125,0.14643124999999999,9.310364183435752,-75.85235020236202,"{""type"":""Point"",""coordinates"":[-75.85245856891845,9.310437925165594]}"
7,42.933071659999996,0.045286260107217945,0.4973704206331562,-0.5527990062658926,0.0523125,0.08122875000000002,0.09467625000000002,0.2820475,0.308805,0.17437125,8.729872846837717,-76.06390345177216,"{""type"":""Point"",""coordinates"":[-76.06380433056385,8.729823959472906]}"
8,38.23500317,-0.12357134679448332,0.6887003088906796,-0.677394342123913,0.018996250000000006,0.048366249999999986,0.04635874999999999,0.25148125,0.196165,0.0989525,9.124951908793483,-76.00623161053169,"{""type"":""Point"",""coordinates"":[-76.00610691093071,9.125068774786389]}"
9,41.153992250000016,-0.039260198274547825,0.6077526743107854,-0.6227470904163909,0.050318749999999995,0.07230500000000001,0.07588,0.31101875,0.28752,0.17217125,9.228168334938815,-75.89870327102258,"{""type"":""Point"",""coordinates"":[-75.89862884377403,9.228034794654679]}"
10,42.989468990000006,-0.10916331176906274,0.6471533694024246,-0.6369943688787777,0.03467125,0.05624499999999999,0.054333750000000014,0.25364,0.20371375,0.1021975,8.737149200639085,-76.0851935240058,"{""type"":""Point"",""coordinates"":[-76.08513521984197,8.73721170316319]}"
11,31.855268840000008,-0.47208992066203054,0.8555575413911319,-0.7443137414626573,0.022873749999999998,0.06277625,0.03333749999999999,0.428265,0.15358125,0.0599025,9.338122125715044,-75.8868455092722,"{""type"":""Point"",""coordinates"":[-75.88676795630242,9.33814035014703]}"
12,37.76502542000003,-0.32850160834265635,0.7942355095127518,-0.728732026143791,0.026819999999999997,0.06160750000000001,0.04502499999999998,0.39261125,0.1984475,0.08638499999999999,8.99047411076079,-75.72460976896022,"{""type"":""Point"",""coordinates"":[-75.72467947258038,8.990511102829103]}"
13,39.35440472000005,-0.10016282782933117,0.6190442955518334,-0.6318859440858702,0.0412575,0.07849250000000002,0.08187499999999998,0.347965,0.284605,0.14091749999999997,8.934149742446495,-75.8868455092722,"{""type"":""Point"",""coordinates"":[-75.8868280773065,8.934090866122336]}"
14,38.34267080000001,-0.40212774869109946,0.8547896477784613,-0.7725756404418228,0.018762499999999988,0.0536875,0.032759999999999984,0.41844750000000003,0.17842750000000002,0.07706249999999998,8.848989453511965,-75.56668594201201,"{""type"":""Point"",""coordinates"":[-75.56680926386511,8.848905453153272]}"
15,43.009977109999994,0.035768622654455434,0.5813995750391412,-0.6086713853526394,0.03784749999999999,0.06879875000000002,0.0748625,0.28281750000000005,0.30380000000000007,0.15998874999999999,9.086953172275226,-75.95933955270065,"{""type"":""Point"",""coordinates"":[-75.95939540636275,9.086890319894922]}"
16,0.5530416800000353,-0.33663482363357794,0.7490685628606479,-0.668393052560866,0.028882500000000005,0.07651249999999998,0.055227499999999985,0.3849525,0.19105,0.09859499999999999,8.586771222077477,-75.72730471481258,"{""type"":""Point"",""coordinates"":[-75.72736829937872,8.586839596172384]}"
17,34.350423439999986,-0.30018904993142304,0.8126062623057563,-0.7208487673249112,0.027122499999999994,0.07112249999999998,0.04532749999999999,0.43844,0.235985,0.10646,9.051918876194565,-75.56264352323348,"{""type"":""Point"",""coordinates"":[-75.56252258289024,9.051969212854251]}"
18,36.134629880000034,-0.18241628783020536,0.7092924243256606,-0.6379046002197789,0.03089,0.06878499999999999,0.052917500000000006,0.31114250000000004,0.21514,0.102995,8.963524652237204,-75.78416807229735,"{""type"":""Point"",""coordinates"":[-75.78426554961086,8.963489934993062]}"
19,37.084839439999996,-0.16718322528325277,0.649086994027433,-0.6260023244187329,0.030257499999999993,0.07200250000000002,0.06661250000000002,0.31304000000000004,0.22336250000000002,0.10907250000000002,9.29230804622495,-75.79952926365578,"{""type"":""Point"",""coordinates"":[-75.79940527211224,9.292349056567623]}"
20,45.667487660000035,0.17019992610534102,0.4655829348492043,-0.5464968152866241,0.04407625,0.0740925,0.0921325,0.25266374999999996,0.35631125,0.2010875,8.937922666639798,-75.98009063576382,"{""type"":""Point"",""coordinates"":[-75.97995709934176,8.937820511823578]}"
21,35.05624457000005,-0.32334153693001155,0.5254123834568493,-0.438175234031044,0.005988749999999987,0.023368749999999994,0.018611249999999996,0.05982000000000001,0.03058749999999999,0.015888750000000007,8.70561833416649,-75.98682800039471,"{""type"":""Point"",""coordinates"":[-75.98674568915436,8.705748292179669]}"
22,35.75010263000004,-0.284361992447005,0.8054955998775483,-0.7443039301571615,0.0234375,0.04268749999999999,0.03137124999999999,0.291205,0.1622575,0.06866124999999998,8.546616528877335,-76.22964262169222,"{""type"":""Point"",""coordinates"":[-76.22953006271065,8.546660445199786]}"
23,37.23865034000005,-0.24000365725545378,0.6988537011851564,-0.6844538624542477,0.0371325,0.07780500000000001,0.073625,0.41534,0.25456124999999996,0.13225499999999998,9.28826562744641,-75.64861229592371,"{""type"":""Point"",""coordinates"":[-75.64859253710279,9.288199073264492]}"
24,37.019897060000005,-0.1384218550930471,0.6535661195886295,-0.6103076945802619,0.029762499999999997,0.06595250000000002,0.05709750000000002,0.2725325,0.20625749999999998,0.0993925,8.992091078272205,-75.8116565199914,"{""type"":""Point"",""coordinates"":[-75.81173565711681,8.992126200367421]}"
25,32.93878117999998,-0.279534605108907,0.7701235911071342,-0.7045406702078183,0.033695,0.07544000000000001,0.056520000000000015,0.4352225,0.24506,0.1164425,9.019849020551499,-75.60198973267791,"{""type"":""Point"",""coordinates"":[-75.60203835385403,9.019747728756316]}"
26,36.13975691000002,-0.3209203702599825,0.6491019173625766,-0.5801740955233308,0.023973750000000002,0.051515000000000005,0.0412575,0.19389625000000002,0.09968125,0.04681249999999999,9.090995591053764,-75.68445507576008,"{""type"":""Point"",""coordinates"":[-75.68446288094239,9.091012382600578]}"
